ADDRESS;NAME;ORIGINAL_LAT;ORIGINAL_LNG
г.Ростов-на-Дону, ул.Волкова 6;Ростов Северный;47.282453;39.710602
г.Ростов-на-Дону, пр.Сельмаш 20/51;Ростов Сельмаш ДК;47.250455;39.765076
г.Казань, ТЦ Южный, пр. Победы,91;Казань ТЦ Южный;55.768355;49.217176
г.Москва, Боровское шоссе, вл.6;Москва ТЦ Солнечный;55.658794;37.401905
г.Анапа, ул. Крымская 182;Анапа;44.896944;37.323814
г. Новочеркасск, ул. Московская, 10/20;Новочеркасск Московская;47.412303;40.099501
г. Каменск-Шахтинский, пр. Карла-Маркса, 68;Каменск-Шахтинский К Маркса;48.316902;40.266902
г. Казань,  Пр. Победы, 141;Казань Мега;55.7810338465191;49.213016767149796
г. Раменское, Вокзальная ул., 4Б;Раменское ТЦ Солнечный;55.56830891528993;38.23117378244706
г.Мытищи, Шараповский проезд вл.2;Мытищи ТЦ Красный Кит;55.916592;37.75903
г. Екатеринбург, ул. Металлургов 87;Екатеринбург ТЦ Мега;56.823429;60.505092
Кстовский р-н, село Федякова, ТЦ Мега;Нижний Новгород Мега;56.223581;44.051845
Ленинградская обл., Всеволжский р-н, Мурманское шоссе 12;С-Петербург ТЦ Мега Дыбенко;59.892302;30.510803
г. Курск, ул. Карла Маркса д.6;Курск ТЦ Централ Парк;51.750823;36.191344
г. Екатеринбург, ул.Халтурина д.55, ТЦ Карнавал;Екатеринбург ТЦ Карнавал;56.852962;60.550403
г.Ярославль, пр. Ленинградский 123, ТЦ Альтаир;Ярославль Альтаир;57.697510805754;39.7581096604
г.Санкт-Петербург, Выборгский р-н, пр. Энгельса,ТЦ Мега;С-Петербург ТЦ Мега Парнас;60.090875453284184;30.378801608825096
г.Набережные Челны, просп. Мира 3;Набережные Челны Торговый квартал;55.7249;52.380998
п.Нагорный, ул.Дорожная, д.6А;Ярославль ТЦ Ярославский Вернисаж;57.57137938834596;39.84261892108096
г.Красноярск, ул. Мате Залки 5;Красноярск ТЦ Сибирский Городок;56.065309;92.94561
г.Омск, ул.К.Маркса, 10;Омск Провиант;54.973861710128;73.381710459392
г.Магнитогорск, К.Маркса, 153, ТЦ Гостиный Двор;Магнитогорск Гостиный Двор;53.3788;58.981513
г.Москва, Измайловское шоссе 71А;Москва ТЦ АСТ Партизанская;55.789608;37.752481
Московская обл., г.Орехово-Зуево, ул. Я.Флиера 4;Орехово-Зуево ТЦ Капитолий;55.806398;38.9779
г.Курск, ул.Щепкина, 4б;Курск Манеж;51.725893;36.175624
г. Красноярск, ул. Высотная д.2 ж;Красноярск Высотная;56.019842;92.792762
г.Омск, ТЦ Кристалл, пр.Мира, 19;Омск Кристалл;54.990215;73.365535
г.Тольятти, ул.Баныкина, д.74;Тольятти ТЦ Аэрохолл;53.510599;49.457098
г. Волгоград, ул. Историческая 175, ТЦ РЕАЛ;Волгоград ТЦ Реал;48.756087;44.478267
г.Тольятти, Автозаводское шоссе 6;Тольятти ТЦ Парк Хаус;53.54202545011912;49.39023126458607
пос. Караваево, Красносельское шоссе,1;Кострома ТЦ Коллаж;57.74478828878122;41.013205544555355
г.Сергиев Посад, ул. Вознесенская 32А;Сергиев Посад ТЦ Счастливая Семья;56.302403;38.132064
г. Кемерово, Октябрьский пр-т, 34, ТЦ АЛЛИ(Лапландия);Кемерово ТЦ Лапландия;55.350351;86.133542
г.Орел, Кромское ш., 4;Орел ТЦ Мега ГриНН;52.921557;36.010513
г.Калуга, ул.Кирова 56;Калуга Кирова;54.513694;36.260748
г.Челябинск, ул.Артиллерийская 136;Челябинск ТЦ Горки;55.163384;61.430312
Самарская обл., г.Сызрань, пр. 50 лет Октября 54а;Сызрань ТЦ Монгора;53.121702;48.3997
Республика Адыгея,аул Новая Адыгея,ул.Тургеневское шоссе 27;Краснодар ТЦ Мега;45.013820294331;38.929805917141
г.Нефтекамск ул.Ленина 26;Нефтекамск Ленина;56.088202;54.249997
Московская обл. г. Коломна, ул. Октябрьской революции 362;Коломна ТЦ Рио;55.084044;38.800016
 просп. Победы, 1Ж, Новокуйбышевск;Новокуйбышевск ТЦ Сити Парк;53.099902;49.960703
г.Воскресенск, пл.Ленина 5;Воскресенск ТЦ Воскресенск;55.321634;38.673003
г.Самара, Красноглинский р-он, пос. Красный Пахарь, 24 км трассы М5;Самара ТЦ Мега;53.325729;50.305306
г.Бийск, ул.Советская 205/2;Бийск ТЦ Ривьера;52.536898;85.218796
г.Оренбург, ул.Новая 4;Оренбург ТЦ Гулливер;51.811167;55.091529
г.Казань, просп.Хусаина Ямашева 46/33;Казань ТЦ Парк Хаус;55.829567;49.11864
Белгородская область, г.Старый Оскол, м-н Ольминского 17;Старый Оскол ТЦ Боше;51.309430227727;37.873372738068
г.Новосибирск, пл.К. Маркса 3;Новосибирск Карла Маркса;54.98265;82.893866
г.Красноярск, пр.Красноярский рабочий 120;Красноярск ТЦ КрасноеЯрье;56.004257;92.930896
Республика Башкортостан, г.Салават, ул.Ленина 42;Салават ТЦ Гостинный Двор;53.350402;55.9261
г.Пенза, ул.Кирова 73;Пенза ЦУМ;53.198408;45.021379
г.Санкт-Петербург, Ленинский пр. 138/5;С-Петербург Нарвский Универмаг;59.85219;30.279019
г.Саров, ул.Московская 5, стр 1;Саров ТЦ Плаза;54.9402;43.328899
г.Элиста, ул.Ленина 241 корп. 1;Элиста ТЦ Гостиница Элиста;46.308197;44.2648
г.Железногорск, пр.Ленинградский 1 б;Железногорск-Сиб ТЦ Сибирский Городок;56.230278931468;93.547767872967
г.Нижний Новгород, ул.Родионова 187;Нижний Новгород ТРЦ Фантастика;56.307931;44.073513
г.Новороссийск, пр-т Дзержинского 197;Новороссийск Дзержинского Новый;44.689049;37.779269
г.Москва, ул.Щукинская 42;Москва ТЦ Щука;55.809469;37.464571
г.Рязань, пр-т Первомайский 70, корп.1;Рязань ТЦ Виктория Плаза;54.630529;39.710252
г.Екатеринбург, ул.8 Марта 46;Екатеринбург ТЦ Гринвич Новый;56.828714;60.600187
г.Санкт-Петербург, ул.Садовая 32/1;С-Петербург Садовая;59.928922471018;30.323724797623
г.Барнаул, пр-т Космонавтов 6в;Барнаул ТЦ Алтай;53.388844;83.732749
г.Нефтеюганск, 10-й микрорайон 19;Нефтеюганск ТЦ Купец;61.098902;72.614597
г.Нижневартовск, ул.Интернациональная 73;Нижневартовск ТЦ Подсолнух;60.943925;76.634675
г.Невинномысск, ул.Гагарина 51;Невинномысск Гагарина;44.628299;41.947003
г. Ростов-на-Дону, ул. Малиновского 25;Ростов ТЦ Золотой Вавилон;47.231398;39.610404
г. Тюмень, ул. Пермякова-Логунова 50Б;Тюмень ТЦ Солнечный;57.118627346544;65.577628144844
